n,c1turnq1,c2turnq1,c3turnq1,c1waitq1,c2waitq1,c3waitq1,c1turnq2,c2turnq2,c3turnq2,c1turnq3,c2turnq3,c3turnq3,c1waitq2,c2waitq2,c3waitq2,c1waitq3,c2waitq3,c3waitq3
100000,4,5,6,2,3,4,2,4,6,3,6,9,0,2,4,0,3,6
200000,7,10,9,4,6,6,8,10,12,12,15,9,4,6,8,6,9,6
300000,13,16,15,8,10,10,20,16,24,12,15,18,12,10,14,6,9,12
400000,31,32,30,20,21,20,26,28,30,21,24,27,16,18,20,12,15,18
500000,31,32,34,20,21,22,32,34,36,30,33,36,20,22,24,18,21,24
600000,37,40,41,24,26,27,32,38,40,39,42,45,20,24,26,24,27,30
700000,49,50,51,32,33,34,44,46,48,39,42,45,28,30,32,24,27,30
800000,67,74,75,44,48,49,50,52,56,48,57,60,32,34,36,30,36,39
900000,76,68,75,49,45,49,62,64,68,66,69,72,40,42,44,42,45,48
1000000,70,71,73,46,47,48,62,64,66,75,78,81,40,42,44,48,51,54
